N,H,dt,M,lam,Elog,Erel,order
20,0.15707963267948966,0.009090909090909092,11,0.36844066779031925,0.000310444558670131,0.0003103963757442596,
40,0.07853981633974483,0.0024390243902439024,41,0.3953997410432694,8.607665682536236e-05,8.607295233620249e-05,1.850641694485244
80,0.039269908169872414,0.0006134969325153375,163,0.3978255063257435,2.176809980625194e-05,2.1767862882882127e-05,1.9834065689832134
160,0.019634954084936207,0.00015408320493066256,649,0.39966445319627847,5.475908348984149e-06,5.475893356199357e-06,1.9910452711107334
