N,dt,lam,heat_error,heat_order,mixed_error,mixed_order
20,0.004545454545454546,0.18422033389515963,0.00022617075782260798,,0.007997048872497858,
40,0.0012195121951219512,0.1976998705216347,6.390698179270515e-05,1.8233669534592534,0.0020418301866667043,1.9696048184139967
80,0.00030674846625766873,0.19891275316287174,1.6132314285766114e-05,1.9860201358395648,0.0005131440649915886,1.9924270624041562
160,7.704160246533128e-05,0.19983222659813923,4.0642817382696705e-06,1.9888810982474876,0.0001284543322647158,1.9981083712087935
