N,H,dt,M,lam,Elog,Erel,order
20,0.15707963267948966,0.009090909090909092,11,0.36844066779031925,0.00022617075782305207,0.00022614518314534315,
40,0.07853981633974483,0.0024390243902439024,41,0.3953997410432694,6.390698179314924e-05,6.390493978547518e-05,1.823366953452061
80,0.039269908169872414,0.0006134969325153375,163,0.3978255063257435,1.6132314285322025e-05,1.6132184160189134e-05,1.9860201358893046
160,0.019634954084936207,0.00015408320493066256,649,0.39966445319627847,4.064281739157849e-06,4.064273479986724e-06,1.9888810978924971
