N,H,dt,M,lam,Elog,Erel,order
20,0.15707963267948966,0.03333333333333333,3,1.3509491152311703,0.0016567869826524806,0.0016581602124838835,
40,0.07853981633974483,0.011111111111111112,9,1.801265486974894,0.0005451507378659848,0.0005452993595354005,1.6036610183851132
80,0.039269908169872414,0.0030303030303030303,33,1.9650168948817024,0.00014842480036936223,0.000148435815874981,1.8769230272970738
160,0.019634954084936207,0.0007692307692307692,130,1.9952479240337286,3.7689142837304956e-05,3.768985308205686e-05,1.977511283358672
