N,H,dt,M,lam,Elog,Erel,order
20,0.15707963267948966,0.03333333333333333,3,1.3509491152311703,0.00017758623429742215,0.0001776020036661219,
40,0.07853981633974483,0.011111111111111112,9,1.801265486974894,4.55745338538982e-05,4.5575572388711905e-05,1.9622199493995676
80,0.039269908169872414,0.0030303030303030303,33,1.9650168948817024,1.1558370563324871e-05,1.155843736144746e-05,1.9792898713298943
160,0.019634954084936207,0.0007692307692307692,130,1.9952479240337286,2.9025330539056426e-06,2.9025372663138427e-06,1.9935536271776577
