N,geometric_error,geometric_order,additive_error,additive_order,ratio
20,0.039143254488168355,,0.012682880475534564,,3.0863063452877433
40,0.01806226048218562,1.1157852543396998,0.003283781893660631,1.9494522280479085,5.500444629728597
80,0.0062600800125212075,1.528725454590554,0.0008331241176420257,1.9787549602080574,7.513982466668934
160,0.0018068880190869052,1.7926739981992343,0.00020967498461832434,1.9903766920218908,8.617566002811543
