N,H,dt,M,dt_over_H2,Elog,Erel,order
20,0.15707963267948966,0.0032258064516129032,31,0.1307370111514036,0.00021832390675502467,0.0002183477411537016,
40,0.07853981633974483,0.000819672131147541,122,0.1328802408424102,5.418047542260496e-05,5.418194321116232e-05,2.010625157921314
80,0.039269908169872414,0.00020533880903490762,487,0.13315309554639876,1.3512147969851895e-05,1.3512239259272363e-05,2.003516020837364
160,0.019634954084936207,5.1387461459403907e-05,1946,0.13328994353771054,3.3771059775311585e-06,3.3771116798586576e-06,2.0003976734880653
