N,Elog_geometric,Elog_nonuniform,nonuniform_ratio,nonuniform_order
20,0.00022617075782305207,0.0017577659575862548,7.771853331107764,
40,6.390698179314924e-05,0.0004399149906109123,6.883676529034121,1.99844632311162
80,1.6132314285322025e-05,0.00010999181558313254,6.818105179317546,1.9998285858059002
160,4.064281739157849e-06,2.7500882461506393e-05,6.76648033440831,1.9998463593948639
